chapter,word,meaning
擺脫失業（雇用）,resume,履歷表
擺脫失業（雇用）,interview,面試
擺脫失業（雇用）,applicant,申請人
擺脫失業（雇用）,qualification,資格
擺脫失業（雇用）,vacancy,職缺
擺脫失業（雇用）,recruit,招募
擺脫失業（雇用）,hire,雇用
擺脫失業（雇用）,career,職涯
擺脫失業（雇用）,job fair,就業博覽會
擺脫失業（雇用）,reference,推薦人
擺脫失業（雇用）,experience,經驗
擺脫失業（雇用）,unemployed,失業的
擺脫失業（雇用）,position,職位
擺脫失業（雇用）,job opening,職缺
擺脫失業（雇用）,permanent,正職的
服裝規定（規則、法律）,regulation,規定
服裝規定（規則、法律）,policy,政策
服裝規定（規則、法律）,attire,服裝
服裝規定（規則、法律）,appropriate,適當的
服裝規定（規則、法律）,prohibit,禁止
服裝規定（規則、法律）,requirement,要求
服裝規定（規則、法律）,enforce,執行
服裝規定（規則、法律）,guideline,指導原則
服裝規定（規則、法律）,violation,違規
服裝規定（規則、法律）,legal,合法的
服裝規定（規則、法律）,permission,許可
服裝規定（規則、法律）,obligation,義務
服裝規定（規則、法律）,restriction,限制
服裝規定（規則、法律）,dress code,服裝規範
服裝規定（規則、法律）,comply,遵守
工作的達人（一般工作 1）,task,任務
工作的達人（一般工作 1）,deadline,截止日期
工作的達人（一般工作 1）,assignment,分配的工作
工作的達人（一般工作 1）,supervisor,主管
工作的達人（一般工作 1）,colleague,同事
工作的達人（一般工作 1）,submit,提交
工作的達人（一般工作 1）,report,報告
工作的達人（一般工作 1）,project,專案
工作的達人（一般工作 1）,meeting,會議
工作的達人（一般工作 1）,instruction,指示
工作的達人（一般工作 1）,manual,手冊
工作的達人（一般工作 1）,efficient,有效率的
工作的達人（一般工作 1）,complete,完成
工作的達人（一般工作 1）,responsibility,責任
工作的達人（一般工作 1）,performance,表現
業務秘訣（一般工作 2）,client,客戶
業務秘訣（一般工作 2）,proposal,提案
業務秘訣（一般工作 2）,contract,合約
業務秘訣（一般工作 2）,negotiate,談判
業務秘訣（一般工作 2）,service,服務
業務秘訣（一般工作 2）,offer,提供
業務秘訣（一般工作 2）,deal,交易
業務秘訣（一般工作 2）,contact,聯絡
業務秘訣（一般工作 2）,presentation,簡報
業務秘訣（一般工作 2）,follow up,跟進
業務秘訣（一般工作 2）,inquiry,詢問
業務秘訣（一般工作 2）,quotation,報價
業務秘訣（一般工作 2）,feedback,回饋
業務秘訣（一般工作 2）,deadline,截止日
業務秘訣（一般工作 2）,support,支援
秘密武器（一般工作 3）,strategy,策略
秘密武器（一般工作 3）,innovation,創新
秘密武器（一般工作 3）,efficiency,效率
秘密武器（一般工作 3）,teamwork,團隊合作
秘密武器（一般工作 3）,communication,溝通
秘密武器（一般工作 3）,multitask,多工處理
秘密武器（一般工作 3）,productivity,生產力
秘密武器（一般工作 3）,goal,目標
秘密武器（一般工作 3）,schedule,時程表
秘密武器（一般工作 3）,plan,計畫
秘密武器（一般工作 3）,brainstorm,腦力激盪
秘密武器（一般工作 3）,analysis,分析
秘密武器（一般工作 3）,improvement,改進
秘密武器（一般工作 3）,method,方法
秘密武器（一般工作 3）,performance,表現
假日休息（休閒社交）,vacation,假期
假日休息（休閒社交）,trip,旅行
假日休息（休閒社交）,leisure,休閒
假日休息（休閒社交）,hobby,嗜好
假日休息（休閒社交）,picnic,野餐
假日休息（休閒社交）,event,活動
假日休息（休閒社交）,festival,節慶
假日休息（休閒社交）,invitation,邀請
假日休息（休閒社交）,party,派對
假日休息（休閒社交）,guest,賓客
